episode: 10700/1000000, reward: 0.0, epsilon: 0.34, max reward: 10.0, mean past 100 rewards: 0.57
episode: 10800/1000000, reward: 0.0, epsilon: 0.34, max reward: 10.0, mean past 100 rewards: 0.45
episode: 10900/1000000, reward: 0.0, epsilon: 0.34, max reward: 10.0, mean past 100 rewards: 0.78
episode: 11000/1000000, reward: 0.0, epsilon: 0.33, max reward: 10.0, mean past 100 rewards: 0.89
episode: 11100/1000000, reward: 0.0, epsilon: 0.33, max reward: 10.0, mean past 100 rewards: 1.04
episode: 11200/1000000, reward: 0.0, epsilon: 0.33, max reward: 10.0, mean past 100 rewards: 1.83
episode: 11300/1000000, reward: 0.0, epsilon: 0.32, max reward: 10.0, mean past 100 rewards: 0.72
episode: 11400/1000000, reward: 1.0, epsilon: 0.32, max reward: 10.0, mean past 100 rewards: 1.14
episode: 11500/1000000, reward: 0.0, epsilon: 0.32, max reward: 10.0, mean past 100 rewards: 0.67
episode: 11600/1000000, reward: 0.0, epsilon: 0.31, max reward: 10.0, mean past 100 rewards: 1.49
episode: 11700/1000000, reward: 0.0, epsilon: 0.31, max reward: 10.0, mean past 100 rewards: 1.32
episode: 11800/1000000, reward: 2.0, epsilon: 0.31, max reward: 10.0, mean past 100 rewards: 0.95
episode: 11900/1000000, reward: 0.0, epsilon: 0.3, max reward: 10.0, mean past 100 rewards: 0.68
episode: 12000/1000000, reward: 0.0, epsilon: 0.3, max reward: 10.0, mean past 100 rewards: 0.62
episode: 12100/1000000, reward: 0.0, epsilon: 0.3, max reward: 10.0, mean past 100 rewards: 0.71
episode: 12200/1000000, reward: 0.0, epsilon: 0.3, max reward: 10.0, mean past 100 rewards: 1.07
episode: 12300/1000000, reward: 2.0, epsilon: 0.29, max reward: 10.0, mean past 100 rewards: 0.97
episode: 12400/1000000, reward: 0.0, epsilon: 0.29, max reward: 10.0, mean past 100 rewards: 0.98
episode: 12500/1000000, reward: 0.0, epsilon: 0.29, max reward: 10.0, mean past 100 rewards: 1.48
episode: 12600/1000000, reward: 0.0, epsilon: 0.28, max reward: 10.0, mean past 100 rewards: 0.83
episode: 12700/1000000, reward: 0.0, epsilon: 0.28, max reward: 10.0, mean past 100 rewards: 0.85
episode: 12800/1000000, reward: 0.0, epsilon: 0.28, max reward: 10.0, mean past 100 rewards: 1.01
episode: 12900/1000000, reward: 0.0, epsilon: 0.28, max reward: 10.0, mean past 100 rewards: 0.94
episode: 13000/1000000, reward: 0.0, epsilon: 0.27, max reward: 10.0, mean past 100 rewards: 1.22
episode: 13100/1000000, reward: 0.0, epsilon: 0.27, max reward: 10.0, mean past 100 rewards: 1.0
episode: 13200/1000000, reward: 0.0, epsilon: 0.27, max reward: 10.0, mean past 100 rewards: 0.59
episode: 13300/1000000, reward: 1.0, epsilon: 0.26, max reward: 10.0, mean past 100 rewards: 1.49
episode: 13400/1000000, reward: 0.0, epsilon: 0.26, max reward: 10.0, mean past 100 rewards: 1.18
episode: 13500/1000000, reward: 0.0, epsilon: 0.26, max reward: 10.0, mean past 100 rewards: 1.05
episode: 13600/1000000, reward: 0.0, epsilon: 0.26, max reward: 10.0, mean past 100 rewards: 1.02
episode: 13700/1000000, reward: 0.0, epsilon: 0.25, max reward: 10.0, mean past 100 rewards: 0.75
episode: 13800/1000000, reward: 0.0, epsilon: 0.25, max reward: 10.0, mean past 100 rewards: 0.66
episode: 13900/1000000, reward: 0.0, epsilon: 0.25, max reward: 10.0, mean past 100 rewards: 0.62
episode: 14000/1000000, reward: 0.0, epsilon: 0.25, max reward: 10.0, mean past 100 rewards: 1.46
episode: 14100/1000000, reward: 1.0, epsilon: 0.24, max reward: 10.0, mean past 100 rewards: 1.46
episode: 14200/1000000, reward: 0.0, epsilon: 0.24, max reward: 10.0, mean past 100 rewards: 1.01
episode: 14300/1000000, reward: 0.0, epsilon: 0.24, max reward: 10.0, mean past 100 rewards: 1.6
episode: 14400/1000000, reward: 0.0, epsilon: 0.24, max reward: 10.0, mean past 100 rewards: 1.9
episode: 14500/1000000, reward: 1.0, epsilon: 0.23, max reward: 10.0, mean past 100 rewards: 1.78
episode: 14600/1000000, reward: 2.0, epsilon: 0.23, max reward: 10.0, mean past 100 rewards: 0.68
episode: 14700/1000000, reward: 0.0, epsilon: 0.23, max reward: 10.0, mean past 100 rewards: 1.17
episode: 14800/1000000, reward: 0.0, epsilon: 0.23, max reward: 10.0, mean past 100 rewards: 0.63
episode: 14900/1000000, reward: 0.0, epsilon: 0.23, max reward: 10.0, mean past 100 rewards: 1.59
episode: 15000/1000000, reward: 0.0, epsilon: 0.22, max reward: 10.0, mean past 100 rewards: 0.95
episode: 15100/1000000, reward: 1.0, epsilon: 0.22, max reward: 10.0, mean past 100 rewards: 1.75
episode: 15200/1000000, reward: 2.0, epsilon: 0.22, max reward: 10.0, mean past 100 rewards: 1.28
episode: 15300/1000000, reward: 0.0, epsilon: 0.22, max reward: 10.0, mean past 100 rewards: 1.15
episode: 15400/1000000, reward: 2.0, epsilon: 0.21, max reward: 10.0, mean past 100 rewards: 1.53
episode: 15500/1000000, reward: 0.0, epsilon: 0.21, max reward: 10.0, mean past 100 rewards: 1.18
episode: 15600/1000000, reward: 0.0, epsilon: 0.21, max reward: 10.0, mean past 100 rewards: 1.43
episode: 15700/1000000, reward: 0.0, epsilon: 0.21, max reward: 10.0, mean past 100 rewards: 1.83
episode: 15800/1000000, reward: 1.0, epsilon: 0.21, max reward: 10.0, mean past 100 rewards: 1.32
episode: 15900/1000000, reward: 0.0, epsilon: 0.2, max reward: 10.0, mean past 100 rewards: 1.28
episode: 16000/1000000, reward: 1.0, epsilon: 0.2, max reward: 10.0, mean past 100 rewards: 0.88
episode: 16100/1000000, reward: 0.0, epsilon: 0.2, max reward: 10.0, mean past 100 rewards: 1.17
